legal_articles,legal_violation_categories,violation_keywords,is_generic,before_legal_categories,reason_ai,original_big_category
《中华人民共和国传染病防治法》第七条第二款,卫生健康,传染病防治法,False,,"从removed恢复: 匹配关键词 传染病防治法, 清洗: 截断后缀""、""",卫生健康
《中华人民共和国传染病防治法》第二十九条第一款,卫生健康,传染病防治法,False,,从removed恢复: 匹配关键词 传染病防治法,卫生健康
《中华人民共和国传染病防治法》第二十九条第一款的规定,卫生健康,传染病防治法,False,,"从removed恢复: 匹配关键词 传染病防治法, 清洗: 截断后缀""和""",卫生健康
《中华人民共和国传染病防治法》第二十九条第二款,卫生健康,传染病防治法,False,,从removed恢复: 匹配关键词 传染病防治法,卫生健康
《中华人民共和国传染病防治法》第六十九条第(一)项,卫生健康,传染病防治法,False,,"从removed恢复: 匹配关键词 传染病防治法, 清洗: 截断后缀""、""",卫生健康
《中华人民共和国劳动合同法》第三十一条第一款,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第三十条,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第三十条第一款,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第九条,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第八十五条第一项,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第八十四条,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第八十四条第二款,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第十六条、第三十条,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第四十六条,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
《中华人民共和国劳动合同法》第四条,劳动保障/用工,劳动合同法,False,,从removed恢复: 匹配关键词 劳动合同法,劳动保障/用工
